model,horizon,seed,split,mse,mae,run_dir,config_path,prediction_path
tcn_transformer,90,4,train,0.6027694649015654,0.5970306659430251,results/official_runs/official_tcn_transformer_h90/seed_4,results/official_runs/official_tcn_transformer_h90/seed_4/config.yaml,results/official_runs/official_tcn_transformer_h90/seed_4/predictions_test.npz
tcn_transformer,90,4,val,1.6299205891222899,1.0739400547918294,results/official_runs/official_tcn_transformer_h90/seed_4,results/official_runs/official_tcn_transformer_h90/seed_4/config.yaml,results/official_runs/official_tcn_transformer_h90/seed_4/predictions_test.npz
tcn_transformer,90,4,test,0.556857323226493,0.5987728028042836,results/official_runs/official_tcn_transformer_h90/seed_4,results/official_runs/official_tcn_transformer_h90/seed_4/config.yaml,results/official_runs/official_tcn_transformer_h90/seed_4/predictions_test.npz
tcn_transformer,90,5,train,0.4734617005386528,0.5286613880610977,results/official_runs/official_tcn_transformer_h90/seed_5,results/official_runs/official_tcn_transformer_h90/seed_5/config.yaml,results/official_runs/official_tcn_transformer_h90/seed_5/predictions_test.npz
tcn_transformer,90,5,val,1.3453908709648195,0.9663490994372333,results/official_runs/official_tcn_transformer_h90/seed_5,results/official_runs/official_tcn_transformer_h90/seed_5/config.yaml,results/official_runs/official_tcn_transformer_h90/seed_5/predictions_test.npz
tcn_transformer,90,5,test,0.5232995511914793,0.5926960352359596,results/official_runs/official_tcn_transformer_h90/seed_5,results/official_runs/official_tcn_transformer_h90/seed_5/config.yaml,results/official_runs/official_tcn_transformer_h90/seed_5/predictions_test.npz
transformer,365,1,train,0.5271581105810755,0.551635067854466,results/official_runs/official_transformer_h365/seed_1,results/official_runs/official_transformer_h365/seed_1/config.yaml,results/official_runs/official_transformer_h365/seed_1/predictions_test.npz
transformer,365,1,val,0.3695543472715236,0.4644835848760023,results/official_runs/official_transformer_h365/seed_1,results/official_runs/official_transformer_h365/seed_1/config.yaml,results/official_runs/official_transformer_h365/seed_1/predictions_test.npz
transformer,365,1,test,0.4269226584560393,0.5043851308527605,results/official_runs/official_transformer_h365/seed_1,results/official_runs/official_transformer_h365/seed_1/config.yaml,results/official_runs/official_transformer_h365/seed_1/predictions_test.npz
transformer,365,2,train,0.48503467451751286,0.5352315209788289,results/official_runs/official_transformer_h365/seed_2,results/official_runs/official_transformer_h365/seed_2/config.yaml,results/official_runs/official_transformer_h365/seed_2/predictions_test.npz
transformer,365,2,val,0.395170902303457,0.48611947110590875,results/official_runs/official_transformer_h365/seed_2,results/official_runs/official_transformer_h365/seed_2/config.yaml,results/official_runs/official_transformer_h365/seed_2/predictions_test.npz
transformer,365,2,test,0.4540275282859207,0.521809562112993,results/official_runs/official_transformer_h365/seed_2,results/official_runs/official_transformer_h365/seed_2/config.yaml,results/official_runs/official_transformer_h365/seed_2/predictions_test.npz
transformer,365,3,train,0.5069327090067375,0.5439088956735504,results/official_runs/official_transformer_h365/seed_3,results/official_runs/official_transformer_h365/seed_3/config.yaml,results/official_runs/official_transformer_h365/seed_3/predictions_test.npz
transformer,365,3,val,0.3983116773557975,0.4868501143782517,results/official_runs/official_transformer_h365/seed_3,results/official_runs/official_transformer_h365/seed_3/config.yaml,results/official_runs/official_transformer_h365/seed_3/predictions_test.npz
transformer,365,3,test,0.520945971865656,0.562184823765035,results/official_runs/official_transformer_h365/seed_3,results/official_runs/official_transformer_h365/seed_3/config.yaml,results/official_runs/official_transformer_h365/seed_3/predictions_test.npz
transformer,365,4,train,0.4902920739032694,0.5387650939779368,results/official_runs/official_transformer_h365/seed_4,results/official_runs/official_transformer_h365/seed_4/config.yaml,results/official_runs/official_transformer_h365/seed_4/predictions_test.npz
transformer,365,4,val,0.3686531596716276,0.46792682694411586,results/official_runs/official_transformer_h365/seed_4,results/official_runs/official_transformer_h365/seed_4/config.yaml,results/official_runs/official_transformer_h365/seed_4/predictions_test.npz
transformer,365,4,test,0.475324314477265,0.533291265991877,results/official_runs/official_transformer_h365/seed_4,results/official_runs/official_transformer_h365/seed_4/config.yaml,results/official_runs/official_transformer_h365/seed_4/predictions_test.npz
transformer,365,5,train,0.525507829795377,0.5516541593095532,results/official_runs/official_transformer_h365/seed_5,results/official_runs/official_transformer_h365/seed_5/config.yaml,results/official_runs/official_transformer_h365/seed_5/predictions_test.npz
transformer,365,5,val,0.3801531396948629,0.4703426748190057,results/official_runs/official_transformer_h365/seed_5,results/official_runs/official_transformer_h365/seed_5/config.yaml,results/official_runs/official_transformer_h365/seed_5/predictions_test.npz
transformer,365,5,test,0.4427697578381353,0.5084808815917866,results/official_runs/official_transformer_h365/seed_5,results/official_runs/official_transformer_h365/seed_5/config.yaml,results/official_runs/official_transformer_h365/seed_5/predictions_test.npz
transformer,90,1,train,0.46682279651065606,0.5230286143972918,results/official_runs/official_transformer_h90/seed_1,results/official_runs/official_transformer_h90/seed_1/config.yaml,results/official_runs/official_transformer_h90/seed_1/predictions_test.npz
transformer,90,1,val,0.771759301118895,0.7101057091322555,results/official_runs/official_transformer_h90/seed_1,results/official_runs/official_transformer_h90/seed_1/config.yaml,results/official_runs/official_transformer_h90/seed_1/predictions_test.npz
transformer,90,1,test,0.47306068790430306,0.5576659120225935,results/official_runs/official_transformer_h90/seed_1,results/official_runs/official_transformer_h90/seed_1/config.yaml,results/official_runs/official_transformer_h90/seed_1/predictions_test.npz
transformer,90,2,train,0.46095896512112655,0.5198643087665858,results/official_runs/official_transformer_h90/seed_2,results/official_runs/official_transformer_h90/seed_2/config.yaml,results/official_runs/official_transformer_h90/seed_2/predictions_test.npz
transformer,90,2,val,0.9267161769537701,0.7866509534033543,results/official_runs/official_transformer_h90/seed_2,results/official_runs/official_transformer_h90/seed_2/config.yaml,results/official_runs/official_transformer_h90/seed_2/predictions_test.npz
transformer,90,2,test,0.4421029439575799,0.537690342284592,results/official_runs/official_transformer_h90/seed_2,results/official_runs/official_transformer_h90/seed_2/config.yaml,results/official_runs/official_transformer_h90/seed_2/predictions_test.npz
transformer,90,3,train,0.4655592884078313,0.5227249166688743,results/official_runs/official_transformer_h90/seed_3,results/official_runs/official_transformer_h90/seed_3/config.yaml,results/official_runs/official_transformer_h90/seed_3/predictions_test.npz
transformer,90,3,val,1.1457854736875286,0.8787382258231374,results/official_runs/official_transformer_h90/seed_3,results/official_runs/official_transformer_h90/seed_3/config.yaml,results/official_runs/official_transformer_h90/seed_3/predictions_test.npz
transformer,90,3,test,0.5014064673099746,0.5790782676357912,results/official_runs/official_transformer_h90/seed_3,results/official_runs/official_transformer_h90/seed_3/config.yaml,results/official_runs/official_transformer_h90/seed_3/predictions_test.npz
transformer,90,4,train,0.7043030823631277,0.6511998830984804,results/official_runs/official_transformer_h90/seed_4,results/official_runs/official_transformer_h90/seed_4/config.yaml,results/official_runs/official_transformer_h90/seed_4/predictions_test.npz
transformer,90,4,val,0.9890704888411292,0.8149451476865287,results/official_runs/official_transformer_h90/seed_4,results/official_runs/official_transformer_h90/seed_4/config.yaml,results/official_runs/official_transformer_h90/seed_4/predictions_test.npz
