horizon,seed,split,left_weight,right_weight,mse,mae
365,5,val,0.5,0.5,0.37593513115705507,0.4692495095582139
365,5,test,0.5,0.5,0.5049675233011084,0.5558399938202081
365,5,val,0.6,0.4,0.3778066090610074,0.471004100785504
365,5,test,0.6,0.4,0.5291518090764652,0.5717906421292497
365,5,val,0.7,0.30000000000000004,0.380583114547358,0.473398073939957
365,5,test,0.7,0.30000000000000004,0.557250990862051,0.5893733692539094
365,5,val,0.8,0.19999999999999996,0.38426464667341254,0.4763726902237325
365,5,test,0.8,0.19999999999999996,0.5892650963440981,0.6084501699414042
365,5,val,0.9,0.09999999999999998,0.388851205684259,0.4798807748349267
365,5,test,0.9,0.09999999999999998,0.6251940952307504,0.6289236832898534
365,5,val,1.0,0.0,0.39434279138351586,0.4839558369829072
365,5,test,1.0,0.0,0.6650380195885095,0.6506508182670419
